GID,COND,DAY,H,HUMD,OU,PTSH,PTSV,SEAS,SPRV,STAD,SURF,TEMP,V,WDIR,WEEK,WSPD
1,Dome,SUN,ATL,\N,42.5,36,28,2000,7.0,Georgia Dome,AstroTurf,79.0,SF,\N,1,\N
2,Sunny,SUN,CLE,63,38.0,7,27,2000,-10.0,Cleveland Browns Stadium,Grass,78.0,JAC,NE,1,9
3,Sunny,SUN,DAL,19,40.0,14,41,2000,6.0,Texas Stadium,AstroTurf,109.0,PHI,S,1,5
4,Mostly Cloudy,SUN,GB,66,36.0,16,20,2000,2.5,Lambeau Field,Grass,77.0,NYJ,E,1,5
5,Mostly Sunny,SUN,KC,50,44.0,14,27,2000,-3.0,Arrowhead Stadium,Grass,90.0,IND,E,1,8
6,Sunny,SUN,MIA,59,36.0,23,0,2000,3.0,Pro Player Stadium,Grass,89.0,SEA,E,1,13
7,Dome,SUN,MIN,\N,47.0,30,27,2000,4.5,Metrodome,AstroTurf,65.0,CHI,\N,1,\N
8,Cloudy,SUN,NE,93,35.5,16,21,2000,-3.0,Foxboro Stadium,Grass,71.0,TB,VAR,1,5
9,Dome,SUN,NO,\N,39.5,10,14,2000,1.0,Louisiana Superdome,AstroTurf,89.0,DET,\N,1,\N
10,Partly Cloudy,SUN,NYG,79,40.0,21,16,2000,7.0,Giants Stadium,Grass,80.0,ARI,VAR,1,3
11,Partly Cloudy,SUN,OAK,49,39.5,9,6,2000,7.0,Network Associates Coliseum,Grass,64.0,SD,W,1,10
12,Partly Sunny,SUN,PIT,84,37.0,0,16,2000,-3.0,Three Rivers Stadium,AstroTurf,74.0,BAL,NW,1,8
13,Mostly Cloudy,SUN,WAS,98,47.5,20,17,2000,10.0,FedExField,Grass,80.0,CAR,CALM,1,\N
14,Mostly Cloudy,SN,BUF,78,40.5,16,13,2000,-1.0,Ralph Wilson Stadium,AstroTurf,73.0,TEN,S,1,10
15,Dome,MN,STL,\N,49.5,41,36,2000,6.5,Trans World Dome,AstroTurf,,DEN,\N,1,\N
16,Mostly Sunny,SUN,BAL,72,36.0,39,36,2000,3.0,PSINet Stadium,Grass,82.0,JAC,SE,2,5
17,Clear,SUN,BUF,62,39.5,27,18,2000,6.5,Ralph Wilson Stadium,AstroTurf,81.0,GB,WSW,2,8
18,Chance Rain,SUN,CIN,93,41.0,7,24,2000,6.0,Paul Brown Stadium,Grass,74.0,CLE,S,2,5
19,Sunny,SUN,DEN,15,46.0,42,14,2000,4.0,Mile High Stadium,Grass,84.0,ATL,S,2,10
20,Dome,SUN,DET,\N,42.0,15,10,2000,-5.5,Silverdome,AstroTurf,73.0,WAS,\N,2,\N
21,Dome,SUN,IND,\N,44.0,31,38,2000,6.5,RCA Dome,AstroTurf,72.0,OAK,\N,2,\N
22,Dome,SUN,MIN,\N,41.0,13,7,2000,3.0,Metrodome,AstroTurf,65.0,MIA,\N,2,\N
23,Fair,SUN,PHI,74,39.0,18,33,2000,3.0,Veterans,AstroTurf,77.0,NYG,SE,2,6
24,Sunny,SUN,SD,41,34.0,27,28,2000,5.5,Qualcomm Stadium,Grass,76.0,NO,WSW,2,8
25,Sunny,SUN,SF,76,49.0,22,38,2000,-3.0,3Com Park,Grass,63.0,CAR,NE,2,6
26,Cloudy,SUN,SEA,100,47.5,34,37,2000,-8.0,Husky Stadium,FieldTurf,55.0,STL,W,2,3
27,Chance Rain,SUN,TB,70,38.0,41,0,2000,7.0,Raymond James Stadium,Grass,89.0,CHI,E,2,10
28,Cloudy,SUN,TEN,84,38.0,17,14,2000,9.0,Adelphia Coliseum,Grass,80.0,KC,N,2,13
29,\N,SN,ARI,26,38.5,32,31,2000,3.0,Sun Devil Stadium,Grass,100.0,DAL,VAR,2,7
30,Fair,MN,NYJ,76,40.0,20,19,2000,5.0,The Meadowlands,Grass,72.0,NE,S,2,5
31,Partly Cloudy,SUN,CAR,60,48.5,10,15,2000,5.5,Ericsson ,Grass,63.0,ATL,N,3,3
32,Sunny,SUN,CHI,40,43.0,7,14,2000,1.5,Soldier Field,Grass,79.0,NYG,W,3,8
33,Sunny,SUN,CLE,50,36.0,23,20,2000,-2.0,Cleveland Browns Stadium,Grass,67.0,PIT,SW,3,17
34,Dome,SUN,DET,\N,34.0,10,31,2000,-3.0,Pontiac Sliverdome,AstroTurf,70.0,TB,\N,3,\N
35,Sunny,SUN,GB,60,42.5,6,3,2000,4.0,Lambeau Field,Grass,67.0,PHI,N,3,9
36,Chance Rain,SUN,JAC,\N,40.0,13,0,2000,13.5,Alltel Stadium,Grass,71.0,CIN,NE,3,5
